date,away_team,a_team_name,R_A,home_team,h_team_name,R_H,Ganador_Pitcher,Perdedor_Pitcher,Salvado_Pitcher,ganador
2025-08-16,ARI,Arizona Diamondbacks,7,COL,Colorado Rockies,10,Ryan Rolison,Andrew Hoffmann,Victor Vodnik,1
2025-08-16,TBR,Tampa Bay Rays,2,SFG,San Francisco Giants,1,Edwin Uceta,José Buttó,Pete Fairbanks,0
2025-08-16,SDP,San Diego Padres,0,LAD,Los Angeles Dodgers,6,Blake Snell,Dylan Cease,NotApplyed,1
2025-08-16,LAA,Los Angeles Angels,2,OAK,Athletics,7,Luis Morales,Tyler Anderson,Sean Newcomb,1
2025-08-22,COL,Colorado Rockies,0,PIT,Pittsburgh Pirates,9,Braxton Ashcraft,Antonio Senzatela,Bubba Chandler,1
2025-08-22,WSN,Washington Nationals,5,PHI,Philadelphia Phillies,4,PJ Poulin,Jhoan Duran,NotApplyed,0
2025-08-22,HOU,Houston Astros,10,BAL,Baltimore Orioles,7,Steven Okert,Cade Povich,Bryan Abreu,0
2025-08-22,BOS,Boston Red Sox,1,NYY,New York Yankees,0,Brayan Bello,Mark Leiter Jr.,Aroldis Chapman,0
2025-08-22,KCR,Kansas City Royals,5,DET,Detroit Tigers,7,Kyle Finnegan,Bailey Falter,NotApplyed,1
2025-08-22,TOR,Toronto Blue Jays,5,MIA,Miami Marlins,2,Shane Bieber,Ryan Gusto,Jeff Hoffman,0
2025-08-22,NYM,New York Mets,12,ATL,Atlanta Braves,7,Nolan McLean,Joey Wentz,NotApplyed,0
2025-08-22,STL,St. Louis Cardinals,6,TBR,Tampa Bay Rays,10,Adrian Houser,Miles Mikolas,NotApplyed,1
2025-08-22,MIN,Minnesota Twins,9,CHW,Chicago White Sox,7,Kody Funderburk,Brandon Eisert,Justin Topa,0
2025-08-22,CLE,Cleveland Guardians,3,TEX,Texas Rangers,4,Robert Garcia,Cade Smith,NotApplyed,1
2025-08-22,SFG,San Francisco Giants,4,MIL,Milwaukee Brewers,5,Trevor Megill,Randy Rodríguez,NotApplyed,1
2025-08-22,CHC,Chicago Cubs,3,LAA,Los Angeles Angels,2,Brad Keller,Kenley Jansen,Daniel Palencia,0
2025-08-22,CIN,Cincinnati Reds,5,ARI,Arizona Diamondbacks,6,Jalen Beeks,Scott Barlow,NotApplyed,1
2025-08-22,LAD,Los Angeles Dodgers,1,SDP,San Diego Padres,2,Yu Darvish,Blake Snell,Robert Suarez,1
2025-08-22,OAK,Athletics,2,SEA,Seattle Mariners,3,Bryan Woo,Elvis Alvarado,Andrés Muñoz,1
2025-08-24,COL,Colorado Rockies,0,PIT,Pittsburgh Pirates,4,Paul Skenes,McCade Brown,NotApplyed,1
2025-08-24,STL,St. Louis Cardinals,2,TBR,Tampa Bay Rays,7,Ryan Pepiot,Matthew Liberatore,NotApplyed,1
2025-08-24,NYM,New York Mets,3,ATL,Atlanta Braves,4,Tyler Kinley,Gregory Soto,Raisel Iglesias,1
2025-08-24,HOU,Houston Astros,2,BAL,Baltimore Orioles,3,Trevor Rogers,Spencer Arrighetti,Keegan Akin,1
2025-08-24,WSN,Washington Nationals,2,PHI,Philadelphia Phillies,3,Ranger Suárez,Jake Irvin,Orion Kerkering,1
2025-08-24,KCR,Kansas City Royals,10,DET,Detroit Tigers,8,John Schreiber,Jack Flaherty,Carlos Estévez,0
2025-08-24,TOR,Toronto Blue Jays,3,MIA,Miami Marlins,5,Eury Pérez,Kevin Gausman,Tyler Phillips,1
2025-08-24,MIN,Minnesota Twins,0,CHW,Chicago White Sox,8,Brandon Eisert,Taj Bradley,NotApplyed,1
2025-08-24,SFG,San Francisco Giants,4,MIL,Milwaukee Brewers,3,José Buttó,Trevor Megill,Ryan Walker,0
2025-08-24,CLE,Cleveland Guardians,0,TEX,Texas Rangers,5,Merrill Kelly,Gavin Williams,NotApplyed,1
2025-08-24,CHC,Chicago Cubs,4,LAA,Los Angeles Angels,3,Jameson Taillon,Kyle Hendricks,Daniel Palencia,0
2025-08-24,CIN,Cincinnati Reds,6,ARI,Arizona Diamondbacks,1,Graham Ashcraft,Kyle Backhus,NotApplyed,0
2025-08-24,LAD,Los Angeles Dodgers,8,SDP,San Diego Padres,2,Yoshinobu Yamamoto,Jeremiah Estrada,NotApplyed,0
2025-08-24,OAK,Athletics,4,SEA,Seattle Mariners,11,Logan Gilbert,Jacob Lopez,NotApplyed,1
2025-08-24,BOS,Boston Red Sox,2,NYY,New York Yankees,7,Carlos Rodón,Dustin May,NotApplyed,1
2025-09-02,TOR,Toronto Blue Jays,12,CIN,Cincinnati Reds,9,Louis Varland,Scott Barlow,Jeff Hoffman,0
2025-09-02,NYM,New York Mets,12,DET,Detroit Tigers,5,Nolan McLean,Sawyer Gipson-Long,NotApplyed,0
2025-09-02,LAD,Los Angeles Dodgers,7,PIT,Pittsburgh Pirates,9,Bubba Chandler,Edgardo Henriquez,Dennis Santana,1
2025-09-02,CLE,Cleveland Guardians,7,BOS,Boston Red Sox,11,Justin Slaten,Hunter Gaddis,NotApplyed,1
2025-09-02,MIA,Miami Marlins,2,WSN,Washington Nationals,5,Cade Cavalli,Adam Mazur,Jose A. Ferrer,1
2025-09-02,SEA,Seattle Mariners,5,TBR,Tampa Bay Rays,6,Kevin Kelly,Gabe Speier,Garrett Cleavinger,1
2025-09-02,ATL,Atlanta Braves,3,CHC,Chicago Cubs,4,Shota Imanaga,Joey Wentz,Daniel Palencia,1
2025-09-02,LAA,Los Angeles Angels,5,KCR,Kansas City Royals,1,Mitch Farris,Michael Lorenzen,NotApplyed,0
2025-09-02,CHW,Chicago White Sox,12,MIN,Minnesota Twins,3,Davis Martin,Thomas Hatch,NotApplyed,0
2025-09-02,OAK,Athletics,1,STL,St. Louis Cardinals,2,Miles Mikolas,Michael Kelly,JoJo Romero,1
2025-09-02,NYY,New York Yankees,7,HOU,Houston Astros,1,Max Fried,Framber Valdez,NotApplyed,0
2025-09-02,SFG,San Francisco Giants,7,COL,Colorado Rockies,4,Logan Webb,Kyle Freeland,Ryan Walker,0
2025-09-02,TEX,Texas Rangers,3,ARI,Arizona Diamondbacks,5,Jalen Beeks,Hoby Milner,Taylor Rashi,1
2025-09-02,BAL,Baltimore Orioles,6,SDP,San Diego Padres,2,Tyler Wells,Yu Darvish,NotApplyed,0
2025-09-03,MIA,Miami Marlins,5,WSN,Washington Nationals,10,Jackson Rutledge,Eury Pérez,NotApplyed,1
2025-09-03,NYM,New York Mets,2,DET,Detroit Tigers,6,Casey Mize,Clay Holmes,NotApplyed,1
2025-09-03,TEX,Texas Rangers,0,ARI,Arizona Diamondbacks,2,Zac Gallen,Jack Leiter,Jake Woodford,1
2025-09-03,BAL,Baltimore Orioles,7,SDP,San Diego Padres,5,Cade Povich,Nestor Cortes,Yennier Cano,0
2025-09-03,TOR,Toronto Blue Jays,13,CIN,Cincinnati Reds,9,Shane Bieber,Nick Martinez,NotApplyed,0
2025-09-03,LAD,Los Angeles Dodgers,0,PIT,Pittsburgh Pirates,3,Mike Burrows,Emmet Sheehan,Dennis Santana,1
2025-09-03,CLE,Cleveland Guardians,8,BOS,Boston Red Sox,1,Joey Cantillo,Brennan Bernardino,NotApplyed,0
2025-09-03,SEA,Seattle Mariners,4,TBR,Tampa Bay Rays,9,Adrian Houser,George Kirby,NotApplyed,1
2025-09-03,ATL,Atlanta Braves,5,CHC,Chicago Cubs,1,Bryce Elder,Ben Brown,NotApplyed,0
2025-09-03,LAA,Los Angeles Angels,4,KCR,Kansas City Royals,3,Robert Stephenson,Lucas Erceg,Reid Detmers,0
2025-09-03,PHI,Philadelphia Phillies,3,MIL,Milwaukee Brewers,6,Jose Quintana,Aaron Nola,Jared Koenig,1
2025-09-03,CHW,Chicago White Sox,4,MIN,Minnesota Twins,3,Grant Taylor,Justin Topa,Jordan Leasure,0
2025-09-03,OAK,Athletics,1,STL,St. Louis Cardinals,5,Matthew Liberatore,Jeffrey Springs,JoJo Romero,1
2025-09-03,NYY,New York Yankees,7,HOU,Houston Astros,8,Bryan King,Devin Williams,NotApplyed,1
2025-09-03,SFG,San Francisco Giants,10,COL,Colorado Rockies,8,Joel Peguero,Luis Peralta,Ryan Walker,0
2025-09-04,PHI,Philadelphia Phillies,2,MIL,Milwaukee Brewers,0,Ranger Suárez,Tobias Myers,Jhoan Duran,0
2025-09-04,LAD,Los Angeles Dodgers,3,PIT,Pittsburgh Pirates,5,Paul Skenes,Blake Snell,Colin Holderman,1
2025-09-04,CLE,Cleveland Guardians,2,TBR,Tampa Bay Rays,4,Ryan Pepiot,Logan Allen,NotApplyed,1
2025-09-04,NYY,New York Yankees,8,HOU,Houston Astros,4,Carlos Rodón,Cristian Javier,NotApplyed,0
2025-09-04,LAA,Los Angeles Angels,3,KCR,Kansas City Royals,4,Lucas Erceg,Ryan Zeferjahn,Carlos Estévez,1
2025-09-04,CHW,Chicago White Sox,11,MIN,Minnesota Twins,8,Wikelman González,Travis Adams,NotApplyed,0
2025-09-07,SEA,Seattle Mariners,18,ATL,Atlanta Braves,2,Luis Castillo,Joey Wentz,NotApplyed,0
2025-09-07,CLE,Cleveland Guardians,2,TBR,Tampa Bay Rays,1,Parker Messick,Garrett Cleavinger,Cade Smith,0
2025-09-07,LAD,Los Angeles Dodgers,5,BAL,Baltimore Orioles,2,Clayton Kershaw,Tomoyuki Sugano,Jack Dreyer,0
2025-09-07,TOR,Toronto Blue Jays,3,NYY,New York Yankees,4,Max Fried,Max Scherzer,David Bednar,1
2025-09-07,MIL,Milwaukee Brewers,10,PIT,Pittsburgh Pirates,2,Jacob Misiorowski,Bubba Chandler,NotApplyed,0
2025-09-07,NYM,New York Mets,2,CIN,Cincinnati Reds,3,Hunter Greene,Brandon Sproat,Tony Santillan,1
2025-09-07,CHW,Chicago White Sox,6,DET,Detroit Tigers,4,Grant Taylor,Tommy Kahnle,Mike Vasil,0
2025-09-07,PHI,Philadelphia Phillies,4,MIA,Miami Marlins,5,Ronny Henriquez,Taijuan Walker,Lake Bachar,1
2025-09-07,MIN,Minnesota Twins,5,KCR,Kansas City Royals,1,Bailey Ober,Michael Lorenzen,Génesis Cabrera,0
2025-09-07,SFG,San Francisco Giants,3,STL,St. Louis Cardinals,4,Sonny Gray,Kai-Wei Teng,Riley O'Brien,1
2025-09-07,WSN,Washington Nationals,6,CHC,Chicago Cubs,3,Mason Thompson,Daniel Palencia,Jose A. Ferrer,0
2025-09-07,HOU,Houston Astros,2,TEX,Texas Rangers,4,Phil Maton,Framber Valdez,Shawn Armstrong,1
2025-09-07,SDP,San Diego Padres,8,COL,Colorado Rockies,1,Dylan Cease,Tanner Gordon,NotApplyed,0
2025-09-07,OAK,Athletics,3,LAA,Los Angeles Angels,4,Reid Detmers,Osvaldo Bido,Kenley Jansen,1
2025-09-07,BOS,Boston Red Sox,7,ARI,Arizona Diamondbacks,4,Garrett Whitlock,Taylor Rashi,Aroldis Chapman,0
2025-09-08,KCR,Kansas City Royals,2,CLE,Cleveland Guardians,10,Slade Cecconi,Ryan Bergert,NotApplyed,1
2025-09-08,WSN,Washington Nationals,15,MIA,Miami Marlins,7,Cade Cavalli,Janson Junk,NotApplyed,0
2025-09-08,NYM,New York Mets,0,PHI,Philadelphia Phillies,1,Aaron Nola,Nolan McLean,Jhoan Duran,1
2025-09-08,CHC,Chicago Cubs,1,ATL,Atlanta Braves,4,Bryce Elder,Shota Imanaga,Raisel Iglesias,1
2025-09-08,MIL,Milwaukee Brewers,0,TEX,Texas Rangers,5,Jacob Latz,Jose Quintana,NotApplyed,1
2025-09-08,MIN,Minnesota Twins,12,LAA,Los Angeles Angels,3,Simeon Woods Richardson,Caden Dana,NotApplyed,0
2025-09-08,CIN,Cincinnati Reds,3,SDP,San Diego Padres,4,Wandy Peralta,Nick Martinez,NotApplyed,1
2025-09-08,STL,St. Louis Cardinals,2,SEA,Seattle Mariners,4,Bryan Woo,Gordon Graceffo,Andrés Muñoz,1
2025-09-08,ARI,Arizona Diamondbacks,5,SFG,San Francisco Giants,11,Logan Webb,Brandyn Garcia,NotApplyed,1
2025-09-08,BOS,Boston Red Sox,7,OAK,Athletics,0,Garrett Crochet,Luis Morales,NotApplyed,0
2025-09-08,COL,Colorado Rockies,1,LAD,Los Angeles Dodgers,3,Tyler Glasnow,Angel Chivilli,Tanner Scott,1
2025-09-10,MIL,Milwaukee Brewers,3,TEX,Texas Rangers,6,Merrill Kelly,Freddy Peralta,Phil Maton,1
2025-09-10,BOS,Boston Red Sox,4,OAK,Athletics,5,Hogan Harris,Aroldis Chapman,NotApplyed,1
2025-09-10,ARI,Arizona Diamondbacks,5,SFG,San Francisco Giants,3,Eduardo Rodríguez,Carson Seymour,NotApplyed,0
2025-09-10,MIN,Minnesota Twins,3,LAA,Los Angeles Angels,4,Robert Stephenson,Cole Sands,Kenley Jansen,1
2025-09-10,PIT,Pittsburgh Pirates,1,BAL,Baltimore Orioles,2,Albert Suárez,Kyle Nicolas,NotApplyed,1
2025-09-10,KCR,Kansas City Royals,4,CLE,Cleveland Guardians,3,Luinder Avila,Tim Herrin,Carlos Estévez,0
2025-09-10,WSN,Washington Nationals,3,MIA,Miami Marlins,8,Lake Bachar,Jake Irvin,NotApplyed,1
2025-09-10,NYM,New York Mets,3,PHI,Philadelphia Phillies,11,Cristopher Sánchez,Clay Holmes,NotApplyed,1
2025-09-10,DET,Detroit Tigers,11,NYY,New York Yankees,1,Jack Flaherty,Carlos Rodón,NotApplyed,0
2025-09-10,HOU,Houston Astros,3,TOR,Toronto Blue Jays,2,Enyel De Los Santos,Jeff Hoffman,Bryan Abreu,0
2025-09-10,CHC,Chicago Cubs,3,ATL,Atlanta Braves,2,Taylor Rogers,Chris Sale,Andrew Kittredge,0
2025-09-10,TBR,Tampa Bay Rays,5,CHW,Chicago White Sox,6,Jordan Leasure,Mason Montgomery,Tyler Gilbert,1
2025-09-10,CIN,Cincinnati Reds,2,SDP,San Diego Padres,1,Andrew Abbott,Adrián Morejón,Tony Santillan,0
2025-09-10,STL,St. Louis Cardinals,2,SEA,Seattle Mariners,4,Emerson Hancock,Ryan Fernandez,NotApplyed,1
2025-09-10,COL,Colorado Rockies,0,LAD,Los Angeles Dodgers,9,Blake Snell,Kyle Freeland,NotApplyed,1
2025-09-13,TBR,Tampa Bay Rays,5,CHC,Chicago Cubs,4,Bryan Baker,Brad Keller,Pete Fairbanks,0
2025-09-13,BAL,Baltimore Orioles,4,TOR,Toronto Blue Jays,5,Braydon Fisher,Yennier Cano,NotApplyed,1
2025-09-13,PIT,Pittsburgh Pirates,5,WSN,Washington Nationals,1,Carmen Mlodzinski,Cole Henry,NotApplyed,0
2025-09-13,NYY,New York Yankees,5,BOS,Boston Red Sox,3,Max Fried,Brayan Bello,David Bednar,0
2025-09-13,DET,Detroit Tigers,4,MIA,Miami Marlins,6,Josh Simpson,Rafael Montero,NotApplyed,1
2025-09-13,TEX,Texas Rangers,3,NYM,New York Mets,2,Phil Maton,Edwin Díaz,Shawn Armstrong,0
2025-09-13,KCR,Kansas City Royals,6,PHI,Philadelphia Phillies,8,Taijuan Walker,Angel Zerpa,Jhoan Duran,1
2025-09-13,CHW,Chicago White Sox,1,CLE,Cleveland Guardians,3,Parker Messick,Davis Martin,Cade Smith,1
2025-09-13,ARI,Arizona Diamondbacks,5,MIN,Minnesota Twins,2,John Curtiss,Cole Sands,NotApplyed,0
2025-09-13,HOU,Houston Astros,6,ATL,Atlanta Braves,2,Hunter Brown,Bryce Elder,NotApplyed,0
2025-09-13,STL,St. Louis Cardinals,8,MIL,Milwaukee Brewers,9,Abner Uribe,Kyle Leahy,NotApplyed,1
2025-09-13,COL,Colorado Rockies,3,SDP,San Diego Padres,11,Dylan Cease,Bradley Blalock,NotApplyed,1
2025-09-13,LAD,Los Angeles Dodgers,13,SFG,San Francisco Giants,7,Edgardo Henriquez,Logan Webb,NotApplyed,0
2025-09-13,LAA,Los Angeles Angels,3,SEA,Seattle Mariners,5,Bryan Woo,Mitch Farris,Matt Brash,1
2025-09-13,CIN,Cincinnati Reds,5,OAK,Athletics,11,Brady Basso,Nick Martinez,NotApplyed,1
2025-09-16,ATL,Atlanta Braves,6,WSN,Washington Nationals,3,José Suarez,Jake Irvin,Raisel Iglesias,0
2025-09-16,CLE,Cleveland Guardians,7,DET,Detroit Tigers,5,Cade Smith,Will Vest,NotApplyed,0
2025-09-16,CHC,Chicago Cubs,4,PIT,Pittsburgh Pirates,1,Cade Horton,Paul Skenes,Brad Keller,0
2025-09-16,OAK,Athletics,2,BOS,Boston Red Sox,1,Mitch Spence,Greg Weissert,Hogan Harris,0
2025-09-16,ATL,Atlanta Braves,5,WSN,Washington Nationals,0,Tyler Kinley,Mason Thompson,NotApplyed,0
2025-09-16,SDP,San Diego Padres,3,NYM,New York Mets,8,Sean Manaea,Michael King,NotApplyed,1
2025-09-16,TOR,Toronto Blue Jays,6,TBR,Tampa Bay Rays,5,Eric Lauer,Ryan Pepiot,Jeff Hoffman,0
2025-09-16,BAL,Baltimore Orioles,8,CHW,Chicago White Sox,7,Dean Kremer,Shane Smith,Keegan Akin,0
2025-09-16,SEA,Seattle Mariners,12,KCR,Kansas City Royals,5,Logan Gilbert,Michael Wacha,NotApplyed,0
2025-09-16,LAA,Los Angeles Angels,2,MIL,Milwaukee Brewers,9,Freddy Peralta,Caden Dana,NotApplyed,1
2025-09-16,NYY,New York Yankees,10,MIN,Minnesota Twins,9,Mark Leiter Jr.,Zebby Matthews,David Bednar,0
2025-09-16,CIN,Cincinnati Reds,0,STL,St. Louis Cardinals,3,Michael McGreevy,Andrew Abbott,Riley O'Brien,1
2025-09-16,TEX,Texas Rangers,5,HOU,Houston Astros,6,Colton Gordon,Merrill Kelly,Bryan Abreu,1
2025-09-16,MIA,Miami Marlins,6,COL,Colorado Rockies,5,Eury Pérez,Kyle Freeland,Ronny Henriquez,0
2025-09-16,SFG,San Francisco Giants,5,ARI,Arizona Diamondbacks,6,Andrew Saalfrank,Ryan Walker,NotApplyed,1
2025-09-16,PHI,Philadelphia Phillies,9,LAD,Los Angeles Dodgers,6,Tanner Banks,Blake Treinen,Jhoan Duran,0
2025-09-19,CHC,Chicago Cubs,4,CIN,Cincinnati Reds,7,Connor Phillips,Porter Hodge,Emilio Pagán,1
2025-09-19,ATL,Atlanta Braves,10,DET,Detroit Tigers,1,Bryce Elder,Charlie Morton,NotApplyed,0
2025-09-19,OAK,Athletics,4,PIT,Pittsburgh Pirates,3,Luis Severino,Mitch Keller,Michael Kelly,0
2025-09-19,NYY,New York Yankees,2,BAL,Baltimore Orioles,4,Trevor Rogers,Will Warren,Keegan Akin,1
2025-09-19,WSN,Washington Nationals,6,NYM,New York Mets,12,Brooks Raley,Andrew Alvarez,NotApplyed,1
2025-09-19,BOS,Boston Red Sox,11,TBR,Tampa Bay Rays,7,Garrett Crochet,Garrett Cleavinger,NotApplyed,0
2025-09-19,SDP,San Diego Padres,3,CHW,Chicago White Sox,4,Davis Martin,Dylan Cease,Grant Taylor,1
2025-09-19,TOR,Toronto Blue Jays,1,KCR,Kansas City Royals,20,Michael Lorenzen,Max Scherzer,NotApplyed,1
2025-09-19,MIA,Miami Marlins,6,TEX,Texas Rangers,4,George Soriano,Patrick Corbin,NotApplyed,0
2025-09-19,LAA,Los Angeles Angels,6,COL,Colorado Rockies,7,Bradley Blalock,Mitch Farris,Victor Vodnik,1
2025-09-19,SEA,Seattle Mariners,4,HOU,Houston Astros,0,Bryan Woo,Hunter Brown,NotApplyed,0
2025-09-19,CLE,Cleveland Guardians,6,MIN,Minnesota Twins,2,Jakob Junis,Cole Sands,NotApplyed,0
2025-09-19,MIL,Milwaukee Brewers,1,STL,St. Louis Cardinals,7,Sonny Gray,Jacob Misiorowski,NotApplyed,1
2025-09-19,PHI,Philadelphia Phillies,8,ARI,Arizona Diamondbacks,2,Walker Buehler,Jalen Beeks,NotApplyed,0
2025-09-19,SFG,San Francisco Giants,3,LAD,Los Angeles Dodgers,6,Edgardo Henriquez,Robbie Ray,Tanner Scott,1
2025-09-22,WSN,Washington Nationals,5,ATL,Atlanta Braves,11,Chris Sale,MacKenzie Gore,José Suarez,1
2025-09-22,MIL,Milwaukee Brewers,4,SDP,San Diego Padres,5,Bradgley Rodriguez,Grant Anderson,NotApplyed,1
2025-09-22,STL,St. Louis Cardinals,6,SFG,San Francisco Giants,5,Michael McGreevy,Justin Verlander,JoJo Romero,0
2025-09-24,WSN,Washington Nationals,4,ATL,Atlanta Braves,3,Mitchell Parker,Bryce Elder,Jose A. Ferrer,0
2025-09-24,MIL,Milwaukee Brewers,3,SDP,San Diego Padres,1,Aaron Ashby,Adrián Morejón,Abner Uribe,0
2025-09-24,TBR,Tampa Bay Rays,6,BAL,Baltimore Orioles,2,Edwin Uceta,Tyler Wells,NotApplyed,0
2025-09-24,PIT,Pittsburgh Pirates,4,CIN,Cincinnati Reds,3,Yohan Ramírez,Nick Martinez,NotApplyed,0
2025-09-24,DET,Detroit Tigers,1,CLE,Cleveland Guardians,5,Tanner Bibee,Jack Flaherty,NotApplyed,1
2025-09-24,MIA,Miami Marlins,1,PHI,Philadelphia Phillies,11,Jesús Luzardo,Ryan Weathers,NotApplyed,1
2025-09-24,CHW,Chicago White Sox,1,NYY,New York Yankees,8,Max Fried,Jonathan Cannon,NotApplyed,1
2025-09-24,BOS,Boston Red Sox,7,TOR,Toronto Blue Jays,1,Garrett Crochet,Max Scherzer,NotApplyed,0
2025-09-24,NYM,New York Mets,3,CHC,Chicago Cubs,10,Matthew Boyd,Jonah Tong,Aaron Civale,1
2025-09-24,MIN,Minnesota Twins,2,TEX,Texas Rangers,4,Robert Garcia,Travis Adams,Phil Maton,1
2025-09-24,KCR,Kansas City Royals,2,LAA,Los Angeles Angels,3,Yusei Kikuchi,Stephen Kolek,Kenley Jansen,1
2025-09-24,LAD,Los Angeles Dodgers,5,ARI,Arizona Diamondbacks,4,Blake Treinen,Brandyn Garcia,Justin Wrobleski,0
2025-09-24,COL,Colorado Rockies,2,SEA,Seattle Mariners,9,Luis Castillo,Tanner Gordon,NotApplyed,1
2025-09-24,STL,St. Louis Cardinals,3,SFG,San Francisco Giants,4,José Buttó,Riley O'Brien,Tristan Beck,1
2025-09-24,HOU,Houston Astros,0,OAK,Athletics,6,Luis Severino,Hunter Brown,NotApplyed,1
2025-09-26,STL,St. Louis Cardinals,1,CHC,Chicago Cubs,12,Colin Rea,Miles Mikolas,NotApplyed,1
2025-09-26,MIN,Minnesota Twins,1,PHI,Philadelphia Phillies,3,Aaron Nola,Joe Ryan,Jhoan Duran,1
2025-09-26,CHW,Chicago White Sox,10,WSN,Washington Nationals,9,Fraser Ellard,Jose A. Ferrer,Grant Taylor,0
2025-09-26,BAL,Baltimore Orioles,4,NYY,New York Yankees,8,Will Warren,Trevor Rogers,NotApplyed,1
2025-09-26,TBR,Tampa Bay Rays,2,TOR,Toronto Blue Jays,4,Shane Bieber,Adrian Houser,Jeff Hoffman,1
2025-09-26,DET,Detroit Tigers,3,BOS,Boston Red Sox,4,Aroldis Chapman,Tommy Kahnle,NotApplyed,1
2025-09-26,TEX,Texas Rangers,7,CLE,Cleveland Guardians,3,Jack Leiter,Slade Cecconi,NotApplyed,0
2025-09-26,NYM,New York Mets,2,MIA,Miami Marlins,6,Sandy Alcantara,Brandon Sproat,Tyler Phillips,1
2025-09-26,PIT,Pittsburgh Pirates,9,ATL,Atlanta Braves,3,Yohan Ramírez,Joey Wentz,NotApplyed,0
2025-09-26,CIN,Cincinnati Reds,3,MIL,Milwaukee Brewers,1,Connor Phillips,Quinn Priester,Emilio Pagán,0
2025-09-26,HOU,Houston Astros,3,LAA,Los Angeles Angels,4,Brock Burke,Bryan King,Kenley Jansen,1
2025-09-26,ARI,Arizona Diamondbacks,4,SDP,San Diego Padres,7,Yu Darvish,Zac Gallen,Mason Miller,1
2025-09-26,LAD,Los Angeles Dodgers,3,SEA,Seattle Mariners,2,Justin Wrobleski,George Kirby,Tanner Scott,0
2025-09-26,KCR,Kansas City Royals,3,OAK,Athletics,4,Justin Sterner,Luinder Avila,NotApplyed,1
2025-09-26,COL,Colorado Rockies,3,SFG,San Francisco Giants,6,Trevor McDonald,Germán Márquez,Ryan Walker,1
2025-09-27,BAL,Baltimore Orioles,1,NYY,New York Yankees,6,Cam Schlittler,Tomoyuki Sugano,NotApplyed,1
2025-09-27,STL,St. Louis Cardinals,3,CHC,Chicago Cubs,7,Jameson Taillon,Michael McGreevy,NotApplyed,1
2025-09-27,TBR,Tampa Bay Rays,1,TOR,Toronto Blue Jays,5,Trey Yesavage,Joe Boyle,NotApplyed,1
2025-09-27,COL,Colorado Rockies,3,SFG,San Francisco Giants,4,Justin Verlander,Kyle Freeland,Spencer Bivens,1
2025-09-27,CHW,Chicago White Sox,5,WSN,Washington Nationals,6,Julian Fernández,Brandon Eisert,Jose A. Ferrer,1
2025-09-27,DET,Detroit Tigers,2,BOS,Boston Red Sox,1,Tyler Holton,Connelly Early,Will Vest,0
2025-09-27,NYM,New York Mets,5,MIA,Miami Marlins,0,Clay Holmes,Eury Pérez,NotApplyed,0
2025-09-27,MIN,Minnesota Twins,5,PHI,Philadelphia Phillies,0,Mick Abel,Ranger Suárez,NotApplyed,0
2025-09-27,PIT,Pittsburgh Pirates,3,ATL,Atlanta Braves,1,Bubba Chandler,Spencer Strider,Dennis Santana,0
2025-09-27,TEX,Texas Rangers,2,CLE,Cleveland Guardians,3,Cade Smith,Robert Garcia,NotApplyed,1
2025-09-27,CIN,Cincinnati Reds,7,MIL,Milwaukee Brewers,4,Andrew Abbott,Robert Gasser,Emilio Pagán,0
2025-09-27,ARI,Arizona Diamondbacks,1,SDP,San Diego Padres,5,Yuki Matsui,Eduardo Rodríguez,NotApplyed,1
2025-09-27,HOU,Houston Astros,6,LAA,Los Angeles Angels,1,J.P. France,Caden Dana,NotApplyed,0
2025-09-27,LAD,Los Angeles Dodgers,5,SEA,Seattle Mariners,3,Alex Vesia,Andrés Muñoz,Edgardo Henriquez,0
2025-09-27,KCR,Kansas City Royals,4,OAK,Athletics,2,Michael Wacha,Luis Morales,Carlos Estévez,0
2025-09-28,KCR,Kansas City Royals,9,OAK,Athletics,2,Daniel Lynch IV,Brady Basso,NotApplyed,0
2025-09-28,DET,Detroit Tigers,3,BOS,Boston Red Sox,4,José De León,Chris Paddack,Greg Weissert,1
2025-09-28,BAL,Baltimore Orioles,2,NYY,New York Yankees,3,Devin Williams,Rico Garcia,David Bednar,1
2025-09-28,MIN,Minnesota Twins,1,PHI,Philadelphia Phillies,2,Orion Kerkering,Cody Laweryson,NotApplyed,1
2025-09-28,COL,Colorado Rockies,0,SFG,San Francisco Giants,4,Logan Webb,McCade Brown,Spencer Bivens,1
2025-09-28,CHW,Chicago White Sox,8,WSN,Washington Nationals,0,Shane Smith,Brad Lord,NotApplyed,0
2025-09-28,HOU,Houston Astros,6,LAA,Los Angeles Angels,2,Colton Gordon,Sam Aldegheri,NotApplyed,0
2025-09-28,TBR,Tampa Bay Rays,4,TOR,Toronto Blue Jays,13,Mason Fluharty,Ian Seymour,NotApplyed,1
2025-09-28,TEX,Texas Rangers,8,CLE,Cleveland Guardians,9,Zak Kent,Jose Corniell,NotApplyed,1
2025-09-28,NYM,New York Mets,0,MIA,Miami Marlins,4,Edward Cabrera,Brooks Raley,NotApplyed,1
2025-09-28,CIN,Cincinnati Reds,2,MIL,Milwaukee Brewers,4,Trevor Megill,Brady Singer,Abner Uribe,1
2025-09-28,ARI,Arizona Diamondbacks,4,SDP,San Diego Padres,12,JP Sears,Brandon Pfaadt,NotApplyed,1
2025-09-28,LAD,Los Angeles Dodgers,6,SEA,Seattle Mariners,1,Clayton Kershaw,Bryce Miller,Landon Knack,0
