date,away_team,a_team_name,R_A,home_team,h_team_name,R_H,Ganador_Pitcher,Perdedor_Pitcher,Salvado_Pitcher,ganador
2025-07-13,CLE,Cleveland Guardians,6,CHW,Chicago White Sox,5,Emmanuel Clase,Brandon Eisert,NotApplyed,0
2025-07-13,TEX,Texas Rangers,5,HOU,Houston Astros,1,Nathan Eovaldi,Hunter Brown,NotApplyed,0
2025-07-13,NYM,New York Mets,2,KCR,Kansas City Royals,3,Carlos Estévez,Sean Manaea,NotApplyed,1
2025-07-13,WSN,Washington Nationals,1,MIL,Milwaukee Brewers,8,Freddy Peralta,Jake Irvin,NotApplyed,1
2025-07-13,PIT,Pittsburgh Pirates,2,MIN,Minnesota Twins,1,Dennis Santana,Jhoan Duran,David Bednar,0
2025-07-13,ATL,Atlanta Braves,4,STL,St. Louis Cardinals,5,Gordon Graceffo,Jesse Chavez,Ryan Helsley,1
2025-07-13,TOR,Toronto Blue Jays,3,OAK,Athletics,6,Jeffrey Springs,José Berríos,Mason Miller,1
2025-07-13,LAD,Los Angeles Dodgers,5,SFG,San Francisco Giants,2,Ben Casparius,Spencer Bivens,NotApplyed,0
2025-07-13,ARI,Arizona Diamondbacks,5,LAA,Los Angeles Angels,1,Merrill Kelly,José Soriano,NotApplyed,0
2025-07-13,PHI,Philadelphia Phillies,2,SDP,San Diego Padres,1,Cristopher Sánchez,Adrián Morejón,Matt Strahm,0
2025-07-20,SFG,San Francisco Giants,6,TOR,Toronto Blue Jays,8,José Berríos,Robbie Ray,Yariel Rodríguez,1
2025-07-20,BAL,Baltimore Orioles,5,TBR,Tampa Bay Rays,3,Trevor Rogers,Ryan Pepiot,Félix Bautista,0
2025-07-20,NYY,New York Yankees,4,ATL,Atlanta Braves,2,Marcus Stroman,Grant Holmes,Devin Williams,0
2025-07-20,LAA,Los Angeles Angels,8,PHI,Philadelphia Phillies,2,José Soriano,Ranger Suárez,NotApplyed,0
2025-07-20,CHW,Chicago White Sox,7,PIT,Pittsburgh Pirates,2,Aaron Civale,Andrew Heaney,NotApplyed,0
2025-07-20,SDP,San Diego Padres,8,WSN,Washington Nationals,1,Nick Pivetta,MacKenzie Gore,NotApplyed,0
2025-07-20,OAK,Athletics,2,CLE,Cleveland Guardians,8,Gavin Williams,Jeffrey Springs,NotApplyed,1
2025-07-20,KCR,Kansas City Royals,7,MIA,Miami Marlins,4,Kris Bubic,Janson Junk,Carlos Estévez,0
2025-07-20,CIN,Cincinnati Reds,2,NYM,New York Mets,3,Edwin Díaz,Brent Suter,Ryne Stanek,1
2025-07-20,BOS,Boston Red Sox,6,CHC,Chicago Cubs,1,Garrett Crochet,Ryan Pressly,NotApplyed,0
2025-07-20,MIN,Minnesota Twins,7,COL,Colorado Rockies,1,Joe Ryan,Germán Márquez,NotApplyed,0
2025-07-20,STL,St. Louis Cardinals,3,ARI,Arizona Diamondbacks,5,Merrill Kelly,Miles Mikolas,Anthony DeSclafani,1
2025-07-20,MIL,Milwaukee Brewers,6,LAD,Los Angeles Dodgers,5,Jose Quintana,Lou Trivino,Abner Uribe,0
2025-07-20,HOU,Houston Astros,11,SEA,Seattle Mariners,3,Kaleb Ort,Bryan Woo,NotApplyed,0
2025-07-20,DET,Detroit Tigers,2,TEX,Texas Rangers,1,Tyler Holton,Chris Martin,Will Vest,0
2025-07-25,MIA,Miami Marlins,5,MIL,Milwaukee Brewers,1,Josh Simpson,Aaron Ashby,NotApplyed,0
2025-07-25,ARI,Arizona Diamondbacks,1,PIT,Pittsburgh Pirates,0,Anthony DeSclafani,Braxton Ashcraft,Kevin Ginkel,0
2025-07-25,COL,Colorado Rockies,6,BAL,Baltimore Orioles,5,Jake Bird,Andrew Kittredge,Seth Halvorsen,0
2025-07-25,PHI,Philadelphia Phillies,12,NYY,New York Yankees,5,Tanner Banks,Tim Hill,NotApplyed,0
2025-07-25,LAD,Los Angeles Dodgers,5,BOS,Boston Red Sox,2,Emmet Sheehan,Brayan Bello,Ben Casparius,0
2025-07-25,TBR,Tampa Bay Rays,2,CIN,Cincinnati Reds,7,Nick Martinez,Zack Littell,NotApplyed,1
2025-07-25,TOR,Toronto Blue Jays,6,DET,Detroit Tigers,2,José Berríos,Keider Montero,NotApplyed,0
2025-07-25,SDP,San Diego Padres,0,STL,St. Louis Cardinals,3,Miles Mikolas,Nick Pivetta,Ryan Helsley,1
2025-07-25,CHC,Chicago Cubs,5,CHW,Chicago White Sox,12,Adrian Houser,Shota Imanaga,NotApplyed,1
2025-07-25,ATL,Atlanta Braves,3,TEX,Texas Rangers,8,Nathan Eovaldi,Joey Wentz,NotApplyed,1
2025-07-25,OAK,Athletics,15,HOU,Houston Astros,3,Jeffrey Springs,Ryan Gusto,NotApplyed,0
2025-07-25,WSN,Washington Nationals,0,MIN,Minnesota Twins,1,Zebby Matthews,MacKenzie Gore,Jhoan Duran,1
2025-07-25,SEA,Seattle Mariners,2,LAA,Los Angeles Angels,3,Ryan Zeferjahn,Casey Legumina,NotApplyed,1
2025-07-25,NYM,New York Mets,8,SFG,San Francisco Giants,1,Clay Holmes,Logan Webb,NotApplyed,0
2025-07-26,PHI,Philadelphia Phillies,9,NYY,New York Yankees,4,Ranger Suárez,Marcus Stroman,NotApplyed,0
2025-07-26,CLE,Cleveland Guardians,3,KCR,Kansas City Royals,5,Steven Cruz,Emmanuel Clase,NotApplyed,1
2025-07-26,TOR,Toronto Blue Jays,6,DET,Detroit Tigers,1,Braydon Fisher,Will Vest,NotApplyed,0
2025-07-26,TBR,Tampa Bay Rays,2,CIN,Cincinnati Reds,6,Graham Ashcraft,Bryan Baker,NotApplyed,1
2025-07-26,ARI,Arizona Diamondbacks,0,PIT,Pittsburgh Pirates,2,Andrew Heaney,Merrill Kelly,David Bednar,1
2025-07-26,COL,Colorado Rockies,0,BAL,Baltimore Orioles,18,Trevor Rogers,Antonio Senzatela,NotApplyed,1
2025-07-26,ATL,Atlanta Braves,5,TEX,Texas Rangers,6,Shawn Armstrong,Enyel De Los Santos,NotApplyed,1
2025-07-26,CHC,Chicago Cubs,6,CHW,Chicago White Sox,1,Cade Horton,Jordan Leasure,NotApplyed,0
2025-07-26,OAK,Athletics,5,HOU,Houston Astros,1,Justin Sterner,Hunter Brown,NotApplyed,0
2025-07-26,MIA,Miami Marlins,7,MIL,Milwaukee Brewers,4,Janson Junk,Jose Quintana,Tyler Phillips,0
2025-07-26,WSN,Washington Nationals,9,MIN,Minnesota Twins,3,Mitchell Parker,Joe Ryan,NotApplyed,0
2025-07-26,LAD,Los Angeles Dodgers,2,BOS,Boston Red Sox,4,Garrett Crochet,Clayton Kershaw,Aroldis Chapman,1
2025-07-26,CLE,Cleveland Guardians,6,KCR,Kansas City Royals,4,Tanner Bibee,Kris Bubic,Emmanuel Clase,0
2025-07-26,SDP,San Diego Padres,3,STL,St. Louis Cardinals,1,Jeremiah Estrada,Matthew Liberatore,Robert Suarez,0
2025-07-26,NYM,New York Mets,2,SFG,San Francisco Giants,1,David Peterson,Robbie Ray,Edwin Díaz,0
2025-07-26,SEA,Seattle Mariners,7,LAA,Los Angeles Angels,2,George Kirby,José Fermin,NotApplyed,0
2025-08-02,ATL,Atlanta Braves,4,CIN,Cincinnati Reds,2,Hurston Waldrep,Brent Suter,Raisel Iglesias,0
2025-08-02,LAD,Los Angeles Dodgers,0,TBR,Tampa Bay Rays,4,Drew Rasmussen,Blake Snell,NotApplyed,1
2025-08-02,BAL,Baltimore Orioles,4,CHC,Chicago Cubs,3,Grant Wolfram,Caleb Thielbar,Keegan Akin,0
2025-08-02,KCR,Kansas City Royals,2,TOR,Toronto Blue Jays,4,Max Scherzer,Noah Cameron,Jeff Hoffman,1
2025-08-02,PIT,Pittsburgh Pirates,5,COL,Colorado Rockies,8,Jaden Hill,Braxton Ashcraft,NotApplyed,1
2025-08-02,DET,Detroit Tigers,7,PHI,Philadelphia Phillies,5,Tarik Skubal,Zack Wheeler,Kyle Finnegan,0
2025-08-02,MIL,Milwaukee Brewers,8,WSN,Washington Nationals,2,Brandon Woodruff,Jake Irvin,NotApplyed,0
2025-08-02,HOU,Houston Astros,3,BOS,Boston Red Sox,7,Justin Wilson,Colton Gordon,Aroldis Chapman,1
2025-08-02,MIN,Minnesota Twins,4,CLE,Cleveland Guardians,5,Nic Enright,Pierson Ohl,Hunter Gaddis,1
2025-08-02,NYY,New York Yankees,0,MIA,Miami Marlins,2,Eury Pérez,Cam Schlittler,Calvin Faucher,1
2025-08-02,SFG,San Francisco Giants,6,NYM,New York Mets,12,Reed Garrett,Kai-Wei Teng,NotApplyed,1
2025-08-02,TEX,Texas Rangers,6,SEA,Seattle Mariners,4,Luis Curvelo,Casey Legumina,NotApplyed,0
2025-08-02,ARI,Arizona Diamondbacks,7,OAK,Athletics,2,Zac Gallen,J.T. Ginn,NotApplyed,0
2025-08-02,CHW,Chicago White Sox,1,LAA,Los Angeles Angels,0,Aaron Civale,Kyle Hendricks,Jordan Leasure,0
2025-08-02,STL,St. Louis Cardinals,8,SDP,San Diego Padres,5,Michael McGreevy,Randy Vásquez,JoJo Romero,0
2025-08-03,HOU,Houston Astros,1,BOS,Boston Red Sox,6,Lucas Giolito,Framber Valdez,NotApplyed,1
2025-08-03,LAD,Los Angeles Dodgers,3,TBR,Tampa Bay Rays,0,Yoshinobu Yamamoto,Mason Englert,Ben Casparius,0
2025-08-03,MIL,Milwaukee Brewers,14,WSN,Washington Nationals,3,Aaron Ashby,Brad Lord,NotApplyed,0
2025-08-03,KCR,Kansas City Royals,7,TOR,Toronto Blue Jays,4,Hunter Harvey,Seranthony Domínguez,NotApplyed,0
2025-08-03,MIN,Minnesota Twins,5,CLE,Cleveland Guardians,4,Kody Funderburk,Joey Cantillo,Erasmo Ramírez,0
2025-08-03,NYY,New York Yankees,3,MIA,Miami Marlins,7,Edward Cabrera,Luis Gil,NotApplyed,1
2025-08-03,SFG,San Francisco Giants,12,NYM,New York Mets,4,Carson Whisenhunt,Frankie Montas,NotApplyed,0
2025-08-03,BAL,Baltimore Orioles,3,CHC,Chicago Cubs,5,Daniel Palencia,Keegan Akin,NotApplyed,1
2025-08-03,PIT,Pittsburgh Pirates,9,COL,Colorado Rockies,5,Mitch Keller,Bradley Blalock,NotApplyed,0
2025-08-03,ARI,Arizona Diamondbacks,6,OAK,Athletics,4,Eduardo Rodríguez,Jack Perkins,Kyle Nelson,0
2025-08-03,CHW,Chicago White Sox,5,LAA,Los Angeles Angels,8,Kenley Jansen,Tyler Alexander,NotApplyed,1
